YEAR,MONTH,dp,dg,rf,re
1958,10,-3.326932206,-0.042944521,-0.00389633,0.248679456
1958,11,-3.363227169,-0.042032307,-0.005519917,0.254599636
1958,12,-3.418945901,-0.047962321,-0.002265223,0.347158399
1959,1,-3.426135141,-0.037237441,0.000599826,0.311745014
1959,2,-3.43762835,-0.043063917,0.004752977,0.342072535
1959,3,-3.439231466,-0.037404121,0.013019635,0.321671939
1959,4,-3.479782416,-0.042976392,0.014229931,0.327610903
1959,5,-3.488103899,-0.024455532,0.015328119,0.323879702
1959,6,-3.480914861,-0.02878251,0.0140827,0.292094212
1959,7,-3.519561245,-0.033333032,0.015903524,0.281662881
1959,8,-3.488589486,-0.007600048,0.013947567,0.248248951
1959,9,-3.437327522,-0.016095444,0.011725768,0.153385952
1959,10,-3.455867737,-0.021367998,0.009515736,0.138639662
1959,11,-3.446754245,0.015024456,0.014467202,0.129903718
1959,12,-3.463017198,0.026190536,0.012209616,0.101115986
1960,1,-3.391542735,0.03372464,0.020267778,0.032234956
1960,2,-3.391908056,0.040882692,0.014403991,0.028253227
1960,3,-3.37196031,0.044352335,0.015700297,0.010827598
1960,4,-3.354768614,0.048985652,0.015659137,-0.041706487
1960,5,-3.372824895,0.052762915,0.016157915,-0.028798347
1960,6,-3.393107177,0.048213906,0.016116406,-0.006541957
1960,7,-3.373054368,0.054091767,0.018349217,-0.058704976
1960,8,-3.377745776,0.060879986,0.018149576,-0.01640875
1960,9,-3.325161282,0.051742474,0.020071899,-0.025088749
1960,10,-3.317838367,0.053540368,0.0159471,-0.048898847
1960,11,-3.350463301,0.040023394,0.01464963,-0.021800325
1960,12,-3.413164769,0.014140036,0.012854118,-0.003306387
1961,1,-3.468502649,0.014607483,0.00805059,0.122255326
1961,2,-3.502119865,0.007344838,0.009960966,0.147244992
1961,3,-3.53296453,0.000443612,0.008465079,0.190247287
1961,4,-3.541276321,-0.001475227,0.011661028,0.213596925
1961,5,-3.552937258,-0.00242048,0.010763048,0.205929805
1961,6,-3.526327544,-0.003752803,0.013748024,0.158456042
1961,7,-3.557457927,-0.009127294,0.007558262,0.203388595
1961,8,-3.553962607,-0.001957153,0.010597628,0.202469065
1961,9,-3.552201731,-0.014958151,0.007358562,0.240340707
1961,10,-3.568726053,0.000100088,0.013793208,0.278789447
1961,11,-3.575017287,0.024674141,0.013992928,0.276857828
1961,12,-3.590177811,0.025669274,0.014292404,0.229901901
1962,1,-3.538309704,0.033660309,0.014791331,0.13211547
1962,2,-3.534059632,0.051458671,0.012062523,0.112166821
1962,3,-3.550092173,0.031807401,0.012062523,0.077252292
1962,4,-3.481488045,0.035025763,0.009244797,0.005535436
1962,5,-3.361280325,0.052164403,0.00984354,-0.105389878
